"検索件数：35件"
"受渡日：2024/1/1-2024/4/2"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","2,906円"
"米国株式","243,475.09円(1,657.34USD)"
"外貨建MMF","3.01円(0.02USD)"
"外貨建債券","20,064.23円(138.46USD)"
"合計","266,448.34円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/3/29","特定/一般","国内株式(現物)","キヤノン 7751","25","1,395円"
"2024/3/28","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","5,455","3.01円"
"2024/3/26","特定/一般","国内株式(現物)","ＣＤＳ 2169","31","841円"
"2024/3/21","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","203","8,088.67円"
"2024/3/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,546.55円"
"2024/3/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,373.99円"
"2024/3/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,278.02円"
"2024/3/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","53,738.66円"
"2024/3/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","315.28円"
"2024/3/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,520.31円"
"2024/3/7","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.41円"
"2024/3/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","517.2円"
"2024/3/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","27,677.09円"
"2024/3/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","116.25円"
"2024/3/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,471.12円"
"2024/3/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","214.63円"
"2024/3/7","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,729.6円"
"2024/2/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,607.37円"
"2024/2/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","3,813円"
"2024/2/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","1,981.41円"
"2024/2/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","55,391.38円"
"2024/2/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","329.01円"
"2024/2/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,580.17円"
"2024/2/7","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.29円"
"2024/2/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","510.97円"
"2024/2/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","28,029.66円"
"2024/2/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","116.66円"
"2024/2/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,491.56円"
"2024/2/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","218.56円"
"2024/2/7","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","5,812.68円"
"2024/1/22","特定/一般","国内株式(現物)","ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921","21","670円"
"2024/1/18","特定/一般","外貨建債券","三井住友フィナンシャル 5.766% 20330113",,"20,064.23円"
"2024/1/12","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","699.92円"
"2024/1/12","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","29,157.44円"
"2024/1/12","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","121.11円"

