"検索件数：16件"
"受渡日：2024/7/1-2024/7/31"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","98円"
"米国株式","115,104.08円(717.81USD)"
"外貨建MMF","1,879.82円(12.28USD)"
"外貨建債券","21,743.84円(138.1USD)"
"合計","138,825.75円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/7/31","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","404,430","1,879.82円"
"2024/7/18","特定/一般","外貨建債券","三井住友フィナンシャル 5.766% 20330113",,"21,743.84円"
"2024/7/12","特定/一般","国内株式(現物)","ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数 1488","10","98円"
"2024/7/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","4,034.68円"
"2024/7/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,379.04円"
"2024/7/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,277.61円"
"2024/7/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","56,061.1円"
"2024/7/5","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","27","1,029.51円"
"2024/7/4","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,787.58円"
"2024/7/4","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","14.45円"
"2024/7/4","旧NISA","米国株式","バンガード 超長期米国債 ETF EDV","54","6,056.6円"
"2024/7/4","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","30,024.43円"
"2024/7/4","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","125.27円"
"2024/7/4","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,774.74円"
"2024/7/4","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","260.18円"
"2024/7/4","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","7,278.84円"

