"検索件数：19件"
"受渡日：2024/1/1-2024/7/31"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"米国株式","151,776.95円(996.19USD)"
"外貨建MMF","809.2円(5.2USD)"
"外貨建債券","7,343.67円(49.7USD)"
"合計","159,929.83円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/7/31","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","76,752","378.1円"
"2024/7/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","21,046.33円"
"2024/7/4","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","3,220.23円"
"2024/6/28","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","53,741","218.89円"
"2024/6/26","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","140","7,769.44円"
"2024/6/10","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","20,323.45円"
"2024/6/6","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","3,121.48円"
"2024/5/31","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","34,228","145.65円"
"2024/5/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","19,627.17円"
"2024/5/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","3,020.57円"
"2024/4/30","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","18,245","66.54円"
"2024/4/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","18,805.74円"
"2024/4/8","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,918.8円"
"2024/3/21","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","140","5,579.77円"
"2024/3/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","20,173.64円"
"2024/3/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,670.97円"
"2024/2/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","1,116","20,793.8円"
"2024/2/7","特定/一般","外貨建債券","インテル 20320805 Green",,"7,343.67円"
"2024/2/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","109","2,705.49円"

