2024/02/05 14:14:32
受渡日,約定日,商品,銘柄コード,銘柄摘要,口座,取引種別,数量,単価,通貨,受渡金額
2023/12/12,2023/12/08,外株,A0346,BND VANGUARD TOTAL BOND MA,,配当,30,0.200957,US$,4.35
2023/12/14,2023/12/12,外株,A0005,AGG ISHARES CORE TOTAL US ,,配当,20,0.017567,US$,0.26
2023/12/14,2023/12/12,外株,A0005,AGG ISHARES CORE TOTAL US ,,配当,20,0.256068,US$,4.1
2023/12/14,2023/12/12,外株,A1076,HYG ISHARES IBOXX HIGH YIE,,配当,20,0.061207,US$,0.89
2023/12/14,2023/12/12,外株,A1076,HYG ISHARES IBOXX HIGH YIE,,配当,20,0.282655,US$,4.51
2023/12/14,2023/12/12,外株,A1940,PFF ISHARES US PREFERRED S,,配当,25,0.03627,US$,0.74
2023/12/14,2023/12/12,外株,A1940,PFF ISHARES US PREFERRED S,,配当,25,0.138946,US$,2.5
2023/12/14,2023/12/12,外株,A2457,TLT ISHARES 20 YEAR TREASU,,配当,20,0.28892,US$,4.62
2023/12/26,2023/12/22,外株,A0005,AGG ISHARES CORE TOTAL US ,,配当,20,0.018127,US$,0.27
2023/12/26,2023/12/22,外株,A0005,AGG ISHARES CORE TOTAL US ,,配当,20,0.264218,US$,4.23
2023/12/26,2023/12/22,外株,A1076,HYG ISHARES IBOXX HIGH YIE,,配当,20,0.067368,US$,0.98
2023/12/26,2023/12/22,外株,A1076,HYG ISHARES IBOXX HIGH YIE,,配当,20,0.311102,US$,4.97
2023/12/26,2023/12/22,外株,A1940,PFF ISHARES US PREFERRED S,,配当,25,0.03988,US$,0.82
2023/12/26,2023/12/22,外株,A1940,PFF ISHARES US PREFERRED S,,配当,25,0.152776,US$,2.76
2023/12/26,2023/12/22,外株,A2457,TLT ISHARES 20 YEAR TREASU,,配当,20,0.310534,US$,4.97
2024/01/09,2024/01/04,外株,A0346,BND VANGUARD TOTAL BOND MA,,配当,30,0.210541,US$,4.55
2024/01/09,2024/01/04,外株,A3607,EDV VANGUARD EXTENDED DUR ,,配当,15,0.737,US$,7.95
2024/01/10,2024/01/05,外株,A4674,SOXL DIREXION DAILY SEMI B,,配当,7,0.06318,US$,0.34
