受渡日,証券会社,口座,商品,銘柄コード,銘柄名,数量,受取額(税引後)
2024-09-30,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"112,324",481.28
2024-09-25,SBI証券,特定/一般,米国株式,SPYD,SPDRポートフォリオS&P 500高配当株式ETF SPYD,140,"6,560.33"
2024-09-09,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","18,602.14"
2024-09-06,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"2,935.76"
2024-08-30,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"96,931",371.74
2024-08-07,SBI証券,特定/一般,外貨建債券,Green,インテル 20320805 Green,,"7,175.82"
2024-08-07,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","18,537.42"
2024-08-06,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"3,019.42"
2024-07-31,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"76,752",378.1
2024-07-08,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","21,046.33"
2024-07-04,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"3,220.23"
2024-06-28,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"53,741",218.89
2024-06-26,SBI証券,特定/一般,米国株式,SPYD,SPDRポートフォリオS&P 500高配当株式ETF SPYD,140,"7,769.44"
2024-06-10,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","20,323.45"
2024-06-06,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"3,121.48"
2024-05-31,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"34,228",145.65
2024-05-08,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","19,627.17"
2024-05-07,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"3,020.57"
2024-04-30,SBI証券,特定/一般,外貨建MMF,ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ),"18,245",66.54
2024-04-08,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","18,805.74"
2024-04-08,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"2,918.8"
2024-03-21,SBI証券,特定/一般,米国株式,SPYD,SPDRポートフォリオS&P 500高配当株式ETF SPYD,140,"5,579.77"
2024-03-08,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","20,173.64"
2024-03-07,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"2,670.97"
2024-02-08,SBI証券,特定/一般,米国株式,PFF,iシェアーズ優先株式&インカム証券ETF PFF,"1,116","20,793.8"
2024-02-07,SBI証券,特定/一般,外貨建債券,Green,インテル 20320805 Green,,"7,343.67"
2024-02-07,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,109,"2,705.49"
2024-09-26,楽天証券,特定・一般,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,158,"7,407"
2024-09-26,楽天証券,旧NISA,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,234,"13,758"
2024-09-26,楽天証券,旧NISA,米国株式,VYM,ＶＮＧ　ＨＩ　ＤＩＶ　ＹＩＥＬＤ,9,984
2024-09-26,楽天証券,特定・一般,米国株式,VYM,ＶＮＧ　ＨＩ　ＤＩＶ　ＹＩＥＬＤ,195,"17,018"
2024-09-26,楽天証券,NISA成長投資枠,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,355,"20,873"
2024-09-24,楽天証券,特定,投資信託,,アライアンス・バーンスタイン・米国成長株投信Dコース毎月決算型(為替ヘッジなし)予想分配金提示型,"3,035,401","60,708"
2024-09-17,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,478
2024-09-11,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,547"
2024-09-11,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,147
2024-09-11,楽天証券,特定・一般,米国株式,PFF,ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ,"1,759","29,537"
2024-09-09,楽天証券,旧NISA,米国株式,BND,ＶＡ　ＴＯＴＡＬ　ＢＯＮＤ,116,"3,366"
2024-09-09,楽天証券,旧NISA,米国株式,BNDX,ＶＡ　ＴＴＬ　ＩＮＴＬ　ＢＯＮＤ,1,12
2024-09-09,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,515,"21,127"
2024-08-21,楽天証券,特定,投資信託,,アライアンス・バーンスタイン・米国成長株投信Dコース毎月決算型(為替ヘッジなし)予想分配金提示型,"3,035,401","60,708"
2024-08-15,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,499
2024-08-09,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,533"
2024-08-09,楽天証券,特定・一般,米国株式,PFF,ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ,"1,759","29,682"
2024-08-08,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,145
2024-08-07,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,515,"15,500"
2024-08-07,楽天証券,旧NISA,米国株式,BND,ＶＡ　ＴＯＴＡＬ　ＢＯＮＤ,116,"3,385"
2024-08-07,楽天証券,旧NISA,米国株式,BNDX,ＶＡ　ＴＴＬ　ＩＮＴＬ　ＢＯＮＤ,1,13
2024-07-22,楽天証券,特定,投資信託,,アライアンス・バーンスタイン・米国成長株投信Dコース毎月決算型(為替ヘッジなし)予想分配金提示型,"3,035,401","115,993"
2024-07-16,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,539
2024-07-10,楽天証券,特定・一般,米国株式,PFF,ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ,"1,759","33,260"
2024-07-10,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,166
2024-07-09,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,743"
2024-07-05,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,515,"19,631"
2024-07-05,楽天証券,旧NISA,米国株式,BND,ＶＡ　ＴＯＴＡＬ　ＢＯＮＤ,116,"3,707"
2024-07-05,楽天証券,旧NISA,米国株式,BNDX,ＶＡ　ＴＴＬ　ＩＮＴＬ　ＢＯＮＤ,1,12
2024-07-05,楽天証券,旧NISA,米国株式,EDV,ＶＡ　ＥＸＴＤ　ＤＵＲＡＴ　ＴＲ,75,"8,422"
2024-06-27,楽天証券,旧NISA,米国株式,VYM,ＶＮＧ　ＨＩ　ＤＩＶ　ＹＩＥＬＤ,9,"1,322"
2024-06-27,楽天証券,NISA成長投資枠,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,355,"24,813"
2024-06-27,楽天証券,特定・一般,米国株式,VYM,ＶＮＧ　ＨＩ　ＤＩＶ　ＹＩＥＬＤ,195,"22,869"
2024-06-27,楽天証券,特定・一般,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,158,"8,814"
2024-06-27,楽天証券,旧NISA,米国株式,SPYD,ＳＰＤＲ　ＳＰ５００　Ｈ　ＤＩＶ,234,"16,356"
2024-06-21,楽天証券,特定,投資信託,,アライアンス・バーンスタイン・米国成長株投信Dコース毎月決算型(為替ヘッジなし)予想分配金提示型,"1,551,831","49,470"
2024-06-19,楽天証券,特定・一般,米国株式,HDV,ＩＳＨＡＲＥＳ　ＨＩＧＨ　ＤＩＶ,82,"8,609"
2024-06-14,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,533
2024-06-11,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,154
2024-06-11,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,700"
2024-06-11,楽天証券,特定・一般,米国株式,PFF,ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ,"1,759","32,372"
2024-06-07,楽天証券,旧NISA,米国株式,BNDX,ＶＡ　ＴＴＬ　ＩＮＴＬ　ＢＯＮＤ,1,13
2024-06-07,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,515,"20,702"
2024-06-07,楽天証券,旧NISA,米国株式,BND,ＶＡ　ＴＯＴＡＬ　ＢＯＮＤ,116,"3,550"
2024-05-15,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,530
2024-05-09,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,610"
2024-05-09,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,144
2024-05-09,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,515,"18,681"
2024-05-09,楽天証券,特定・一般,米国株式,PFF,ＩＳＨＡＲＥＳ　ＰＲＥＦＥＲ,"1,756","31,185"
2024-05-08,楽天証券,旧NISA,米国株式,BND,ＶＡ　ＴＯＴＡＬ　ＢＯＮＤ,116,"3,430"
2024-05-08,楽天証券,旧NISA,米国株式,BNDX,ＶＡ　ＴＴＬ　ＩＮＴＬ　ＢＯＮＤ,1,12
2024-04-15,楽天証券,特定・一般,米国株式,PFFD,ＧＢＬＸ　ＵＳ　ＰＲＥＦＥＲＲＤ,45,519
2024-04-11,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,123
2024-04-10,楽天証券,特定・一般,米国株式,AGG,ＩＳＨＡＲＥＳＣＯＲＥ　ＢＯＮＤ,76,"2,538"
