"検索件数：63件"
"受渡日：2024/1/1-2024/5/20"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","2,906円"
"米国株式","453,002.68円(3,035.76USD)"
"外貨建MMF","256.81円(1.66USD)"
"外貨建債券","93,737.24円(612.15USD)"
"合計","549,902.74円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/5/17","特定/一般","外貨建債券","アメリカ国債 4.0% 20421115",,"73,673円"
"2024/5/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,778.75円"
"2024/5/8","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.77円"
"2024/5/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,143.15円"
"2024/5/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,149.66円"
"2024/5/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","52,276.34円"
"2024/5/8","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,726.12円"
"2024/5/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,672.4円"
"2024/5/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","581.77円"
"2024/5/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","30,447.77円"
"2024/5/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","127.21円"
"2024/5/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,664.65円"
"2024/5/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","243.56円"
"2024/4/30","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","75,785","253.8円"
