"検索件数：135件"
"受渡日：2024/1/1-2024/9/1"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","53,775円"
"米国株式","784,587.51円(5,198.55USD)"
"外貨建MMF","5,923.32円(39.07USD)"
"外貨建債券","115,481.08円(750.25USD)"
"合計","959,766.93円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/8/30","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","474,745","1,891.72円"
"2024/8/26","NISA（成長投資枠）","国内株式(現物)","キヤノン 7751","35","2,625円"
"2024/8/7","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,662.85円"
"2024/8/7","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","3,979.6円"
"2024/8/7","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,068.99円"
"2024/8/7","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","49,377.94円"
"2024/8/6","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,632.51円"
"2024/8/6","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13円"
"2024/8/6","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","27","814.81円"
"2024/8/6","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","29,064.47円"
"2024/8/6","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","121.35円"
"2024/8/6","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,662.84円"
"2024/8/6","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","244.15円"
"2024/8/6","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","6,966.34円"
"2024/8/2","NISA（成長投資枠）","国内株式(現物)","ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921","26","1,040円"
"2024/7/31","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","404,430","1,879.82円"
"2024/7/18","特定/一般","外貨建債券","三井住友フィナンシャル 5.766% 20330113",,"21,743.84円"
"2024/7/12","特定/一般","国内株式(現物)","ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数 1488","10","98円"
"2024/7/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","4,034.68円"
"2024/7/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","4,379.04円"
"2024/7/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","2,277.61円"
"2024/7/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","56,061.1円"
"2024/7/5","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","27","1,029.51円"
"2024/7/4","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,787.58円"
"2024/7/4","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","14.45円"
"2024/7/4","旧NISA","米国株式","バンガード 超長期米国債 ETF EDV","54","6,056.6円"
"2024/7/4","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","30,024.43円"
"2024/7/4","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","125.27円"
"2024/7/4","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,774.74円"
"2024/7/4","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","260.18円"
"2024/7/4","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","7,278.84円"
"2024/6/28","NISA（成長投資枠）","国内株式(現物)","アマダ 6113","60","2,100円"
"2024/6/28","特定/一般","国内株式(現物)","アマダ 6113","2","57円"
"2024/6/28","NISA（成長投資枠）","国内株式(現物)","三菱ＵＦＪフィナンシャル・グループ 8306","145","2,973円"
"2024/6/28","NISA（成長投資枠）","国内株式(現物)","三井住友フィナンシャルグループ 8316","33","4,455円"
"2024/6/28","特定/一般","国内株式(現物)","三井住友フィナンシャルグループ 8316","2","216円"
"2024/6/28","NISA（成長投資枠）","国内株式(現物)","蔵王産業 9986","45","2,250円"
"2024/6/28","特定/一般","外貨建MMF","ﾆｯｺｳ・ﾏﾈｰ・ﾏｰｹｯﾄ・ﾌｧﾝﾄﾞ(米ﾄﾞﾙ)","285,962","1,180.77円"
"2024/6/27","特定/一般","国内株式(現物)","朝日ネット 3834","100","917円"
"2024/6/27","NISA（成長投資枠）","国内株式(現物)","朝日ネット 3834","52","598円"
"2024/6/26","NISA（成長投資枠）","国内株式(現物)","センチュリー２１・ジャパン 8898","101","2,525円"
"2024/6/26","特定/一般","米国株式","SPDRポートフォリオS&P 500高配当株式ETF SPYD","203","11,265.68円"
"2024/6/25","特定/一般","国内株式(現物)","東京センチュリー 8439","64","1,378円"
"2024/6/25","NISA（成長投資枠）","国内株式(現物)","第一生命ホールディングス 8750","33","3,729円"
"2024/6/24","NISA（成長投資枠）","国内株式(現物)","伊藤忠商事 8001","21","1,680円"
"2024/6/24","NISA（成長投資枠）","国内株式(現物)","住友商事 8053","50","3,125円"
"2024/6/24","NISA（成長投資枠）","国内株式(現物)","三菱商事 8058","31","1,085円"
"2024/6/24","特定/一般","国内株式(現物)","芙蓉総合リース 8424","10","1,953円"
"2024/6/21","NISA（成長投資枠）","国内株式(現物)","日本電信電話 9432","519","1,350円"
"2024/6/21","特定/一般","国内株式(現物)","日本電信電話 9432","101","209円"
"2024/6/20","NISA（成長投資枠）","国内株式(現物)","三井物産 8031","22","1,870円"
"2024/6/20","NISA（成長投資枠）","国内株式(現物)","ＫＤＤＩ 9433","30","2,100円"
