"検索件数：18件"
"受渡日：2024/1/1-2024/2/14"
"種類：すべて"
"口座：すべて"

"商品","受取額(税引後)"
"国内株式(現物)","670円"
"米国株式","132,874.25円(912.02USD)"
"外貨建債券","20,064.23円(138.46USD)"
"合計","153,608.49円"

"受渡日","口座","商品","銘柄名","数量","受取額(税引後)"
"2024/2/8","旧NISA","米国株式","iシェアーズ コア 米国総合債券市場 ETF AGG","93","3,607.37円"
"2024/2/8","特定/一般","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","94","3,813円"
"2024/2/8","旧NISA","米国株式","iシェアーズ iBoxx USD Hイールド社債 ETF HYG","39","1,981.41円"
"2024/2/8","特定/一般","米国株式","iシェアーズ優先株式&インカム証券ETF PFF","2,973","55,391.38円"
"2024/2/8","旧NISA","米国株式","iシェアーズ 米国国債 20年超 ETF TLT","8","329.01円"
"2024/2/7","旧NISA","米国株式","バンガード　米国トータル債券市場ETF BND","56","1,580.17円"
"2024/2/7","旧NISA","米国株式","インターナショナル債券ETF米ドルヘッジ BNDX","1","13.29円"
"2024/2/7","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","510.97円"
"2024/2/7","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","28,029.66円"
"2024/2/7","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","116.66円"
"2024/2/7","特定/一般","米国株式","バンガード 米国短期社債 ETF VCSH","60","1,491.56円"
"2024/2/7","旧NISA","米国株式","バンガード 米国短期社債 ETF VCSH","7","218.56円"
"2024/2/7","特定/一般","米国株式","バンガード 米ドル建て新興国政府債券ETF VWOB","199","5,812.68円"
"2024/1/22","特定/一般","国内株式(現物)","ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921","21","670円"
"2024/1/18","特定/一般","外貨建債券","三井住友フィナンシャル 5.766% 20330113",,"20,064.23円"
"2024/1/12","特定/一般","米国株式","JPモルガン エクイティ プレミアム ETF JEPI","16","699.92円"
"2024/1/12","特定/一般","米国株式","JPM ウルトラ ショート インカム ETF JPST","1,210","29,157.44円"
"2024/1/12","旧NISA","米国株式","JPM ウルトラ ショート インカム ETF JPST","4","121.11円"

