受渡日,証券会社,口座,商品,銘柄コード,銘柄名,数量,受取額(税引後)
2024-01-12,SBI証券,特定/一般,米国株式,JEPI,JPモルガン エクイティ プレミアム ETF JEPI,16,699.92
2024-01-12,SBI証券,特定/一般,米国株式,JPST,JPM ウルトラ ショート インカム ETF JPST,"1,210","29,157.44"
2024-01-12,SBI証券,旧NISA,米国株式,JPST,JPM ウルトラ ショート インカム ETF JPST,4,121.11
2024-01-18,SBI証券,特定/一般,外貨建債券,三井住友フィナンシャル 5.766% 20330113,三井住友フィナンシャル 5.766% 20330113,,"20,064.23"
2024-01-22,SBI証券,特定/一般,国内株式(現物),ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ 7921,21,670
2024-02-07,SBI証券,旧NISA,米国株式,BND,バンガード　米国トータル債券市場ETF BND,56,"1,580.17"
2024-02-07,SBI証券,旧NISA,米国株式,BNDX,インターナショナル債券ETF米ドルヘッジ BNDX,1,13.29
2024-02-07,SBI証券,特定/一般,米国株式,JEPI,JPモルガン エクイティ プレミアム ETF JEPI,16,510.97
2024-02-07,SBI証券,特定/一般,米国株式,JPST,JPM ウルトラ ショート インカム ETF JPST,"1,210","28,029.66"
2024-02-07,SBI証券,旧NISA,米国株式,JPST,JPM ウルトラ ショート インカム ETF JPST,4,116.66
2024-02-07,SBI証券,特定/一般,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,60,"1,491.56"
2024-02-07,SBI証券,旧NISA,米国株式,VCSH,バンガード 米国短期社債 ETF VCSH,7,218.56
2024-02-07,SBI証券,特定/一般,米国株式,VWOB,バンガード 米ドル建て新興国政府債券ETF VWOB,199,"5,812.68"
2024-01-05,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,527,"23,147"
2024-02-08,楽天証券,特定・一般,米国株式,JEPI,ＪＰＭ　ＥＱ　ＩＮＣＭ　ＥＴＦ,527,"16,770"
